word_help;id;ask;toask;Question;Шаг 1;Шаг 2;Шаг 3;Шаг 4;Шаг 5;Шаг 6;Шаг 7;Шаг 8;Шаг 9;Шаг 10;Шаг 11;Шаг 12;Шаг 13;Шаг 14
активировать карта;2;Карты;Активация;Как активировать карту;На вкладке «Мои продукты» в разделе «Карты» выберите неактивированную карту и нажмите «Активировать»;Введите предпоследние 4 цифры номера карты — с 9-й по 12-ю;Придумайте и повторно введите PIN-код. Он не должен состоять из четырёх одинаковых цифр, четырёх последовательных цифр или совпадать с годом рождения клиента.;Нажмите «Активировать»;Введите SMS-код для подтверждения операции;Ваша карта активирована; ; ; ; ; ; ; ; 
узнать баланс карта;4;Карты;Баланс;Как узнать баланс карты;На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту. Баланс отображается напротив названия карты; ; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть история операция карта;7;Карты;История операций;Как посмотреть историю операций по карте;Перейдите в раздел «История операций». На экране отобразится история операций по картам;Выберите нужную карту;Выберите период, тип операций и категории;Ниже появятся операции по карте по выбранным вами параметрам; ; ; ; ; ; ; ; ; ; 
получить выписка карта синь печать банк факсимиле;9;Карты;Справки и выписки;Как получить выписку по карте с синей печатью банка и факсимиле;Перейдите в раздел «История операций». На экране отобразится история операций по картам;Выберите нужную карту;Выберите период, тип (»Все», «Пополнения» или «Расходы») и категории операций;Выберите формат выписки в поле «Получить выписку»: PDF или Excel;Выписку в формате PDF вы можете скачать или отправить по e-mail, а в формате Excel скачать себе на устройство; ; ; ; ; ; ; ; ; 
посмотреть реквизит счёт карта;11;Карты;Реквизиты;Как посмотреть реквизиты счета карты;На вкладке «Мои продукты» найдите нужную карту и нажмите «Реквизиты».     Примечание: Если карта не активирована, реквизиты посмотреть нельзя;Перейдите в раздел «Счет»;В открывшемся окне отобразятся реквизиты счета. Можно скопировать отдельные строки реквизитов, нажав на значок документов справа от них. Для копирования всех реквизитов нажмите «Скопировать все»;Реквизиты можно отправить на e-mail. Для этого введите адрес электронной почты в поле внизу окна и нажмите «Отправить»;ОЙ; ; ; ; ; ; ; ; ; 
отправить реквизит счёт карта e mail;13;Карты;Реквизиты;Как отправить реквизиты счета карты на e-mail;На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту и нажмите «Реквизиты»;Перейдите в раздел «Счет»;В открывшемся окне отобразятся реквизиты счета. Введите адрес электронной почты в поле внизу окна и нажмите «Отправить»;Реквизиты счета отправлены; ; ; ; ; ; ; ; ; ; 
заблокировать карта;16;Карты;Блокировка;Как заблокировать карту;На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту и нажмите «Заблокировать»;Подтвердите блокировку карты, нажмите «Заблокировать»;Карта заблокирована; ; ; ; ; ; ; ; ; ; ; 
разблокировать карта;18;Карты;Разблокировка;Как разблокировать карту;На вкладке «Мои продукты» в разделе «Карты» выберите заблокированную карту и нажмите «разблокировать».     Примечание: Клиент может разблокировать только ту карту, которую он до этого сам заблокировал в интернет-банке. Снятие другие блокировки самостоятельно невозможно.;Подтвердите разблокировку карты. Нажмите «Разблокировать», на ваш номер телефона придет SMS с кодом.;Введите SMS-код для разблокировки.;Карта разблокирована.; ; ; ; ; ; ; ; ; ; 
перевыпустить карта;20;Карты;Перевыпуск;Как перевыпустить карту;На вкладке «Мои продукты» в разделе «Карты» выберите карту, которую хотите перевыпустить, нажмите «Еще».;В открывшемся меню нажмите «Перевыпустить карту».;Выберите город на карте или введите в окне поиска.;Выберите офис, где вам будет удобно получить новую карту;Во всплывающем окне появится информация о выбранном офисе, его адресе и режиме работы. Нажмите «Выбрать»;Проверьте написание имени и фамилии на карте и, если нужно, внесите изменения. Нажмите «Далее».;Проверьте данные карты и адрес офиса получения. Если все верно, нажмите «Подтвердить заявку»;Заявка на перевыпуск карты принята. Когда карта будет готова, вам придет SMS. Нажмите «Готово»; ; ; ; ; ; 
сменить pin код;22;Карты;Смена PIN-кода;Как сменить PIN-код;На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Еще».;В открывшемся окне нажмите «Сменить PIN».;Придумайте новый PIN-код и подтвердите его, нажмите «Изменить».;Введите SMS-код для подтверждения;PIN-код изменен; ; ; ; ; ; ; ; ; 
